normalization,model,seed,unit_id,denominator_definition,q,epsilon_fraction,rmse_cycles,eligible_windows,late_events,lpr
global,core,2026,B0044,J,0.2,0.0,31.085375569167695,23,23,1.0
global,core,2026,B0048,J,0.2,0.0,15.016370575947318,15,15,1.0
global,core,2026,B0055,J,0.2,0.0,26.6024276387222,21,21,1.0
global,core,2026,B0007,J,0.2,0.02,61.82618045703929,34,26,0.7647058823529411
global,core,2026,B0044,J,0.2,0.02,31.085375569167695,23,23,1.0
global,core,2026,B0048,J,0.2,0.02,15.016370575947318,15,15,1.0
global,core,2026,B0055,J,0.2,0.02,26.6024276387222,21,21,1.0
global,core,2026,B0007,J,0.2,0.05,61.82618045703929,34,21,0.6176470588235294
global,core,2026,B0044,J,0.2,0.05,31.085375569167695,23,22,0.9565217391304348
global,core,2026,B0048,J,0.2,0.05,15.016370575947318,15,15,1.0
global,core,2026,B0055,J,0.2,0.05,26.6024276387222,21,21,1.0
global,core,2026,B0007,J_plus_1,0.05,0.0,61.82618045703929,9,9,1.0
global,core,2026,B0044,J_plus_1,0.05,0.0,31.085375569167695,6,6,1.0
global,core,2026,B0048,J_plus_1,0.05,0.0,15.016370575947318,4,4,1.0
global,core,2026,B0055,J_plus_1,0.05,0.0,26.6024276387222,6,6,1.0
global,core,2026,B0007,J_plus_1,0.05,0.02,61.82618045703929,9,9,1.0
global,core,2026,B0044,J_plus_1,0.05,0.02,31.085375569167695,6,6,1.0
global,core,2026,B0048,J_plus_1,0.05,0.02,15.016370575947318,4,4,1.0
global,core,2026,B0055,J_plus_1,0.05,0.02,26.6024276387222,6,6,1.0
global,core,2026,B0007,J_plus_1,0.05,0.05,61.82618045703929,9,9,1.0
global,core,2026,B0044,J_plus_1,0.05,0.05,31.085375569167695,6,6,1.0
global,core,2026,B0048,J_plus_1,0.05,0.05,15.016370575947318,4,4,1.0
global,core,2026,B0055,J_plus_1,0.05,0.05,26.6024276387222,6,6,1.0
global,core,2026,B0007,J_plus_1,0.1,0.0,61.82618045703929,17,17,1.0
global,core,2026,B0044,J_plus_1,0.1,0.0,31.085375569167695,12,12,1.0
global,core,2026,B0048,J_plus_1,0.1,0.0,15.016370575947318,8,8,1.0
global,core,2026,B0055,J_plus_1,0.1,0.0,26.6024276387222,11,11,1.0
global,core,2026,B0007,J_plus_1,0.1,0.02,61.82618045703929,17,17,1.0
global,core,2026,B0044,J_plus_1,0.1,0.02,31.085375569167695,12,12,1.0
global,core,2026,B0048,J_plus_1,0.1,0.02,15.016370575947318,8,8,1.0
